House_Type,Area,Province,Percentage_Increase
Apartment,BARRIE_AND_DISTRICT,ON,3.3767993764422415
Apartment,BRANTFORD_REGION,ON,3.9240379774760243
Apartment,CALGARY,AB,2.617999738636734
Apartment,CAMBRIDGE,ON,3.084037571736239
Apartment,CENTRE_DU_QUEBEC,QC,2.8928233320736876
Apartment,CHILLIWACK_AND_DISTRICT,BC,5.038725805130642
Apartment,EDMONTON,AB,1.850873938338769
Apartment,ESTRIE,QC,2.0675250071770908
Apartment,FRASER_VALLEY,BC,4.829709770941425
Apartment,FREDERICTON,NB,1.7835804153607882
Apartment,GREATER_MONCTON,NB,3.42756077424507
Apartment,GREATER_TORONTO,ON,3.6330475765196693
Apartment,GREATER_VANCOUVER,BC,3.399778097439559
Apartment,GREY_BRUCE_OWEN_SOUND,ON,3.754428086185639
Apartment,GUELPH_AND_DISTRICT,ON,3.2621584639451076
Apartment,HALIFAX_DARTMOUTH,NS,2.581278534208958
Apartment,HAMILTON_BURLINGTON,ON,3.5412708751005955
Apartment,HURON_PERTH,ON,3.9860167654289973
Apartment,INTERIOR_BC,BC,3.0667538182603997
Apartment,KINGSTON_AND_AREA,ON,2.5004911231478166
Apartment,KITCHENER_WATERLOO,ON,4.086234244527591
Apartment,LAKELANDS,ON,2.4703717194993007
Apartment,LONDON_ST_THOMAS,ON,4.206761270960162
Apartment,LOWER_MAINLAND,BC,3.4525734476011727
Apartment,MAURICIE,QC,2.664539775725519
Apartment,MISSISSAUGA,ON,3.9131059760087905
Apartment,MONTREAL_CMA,QC,2.0615332568190197
Apartment,NIAGARA_REGION,ON,3.3170548268364457
Apartment,OAKVILLE_MILTON,ON,3.4383557689417623
Apartment,OTTAWA,ON,2.212646973156289
Apartment,QUEBEC_CMA,QC,1.5450104484557514
Apartment,REGINA,SK,2.330462183486232
Apartment,RIDEAU_ST_LAWRENCE,ON,2.242611261730447
Apartment,SAINT_JOHN_NB,NB,4.030967573230205
Apartment,SASKATOON,SK,3.397376805861486
Apartment,ST_JOHNS_NL,NL,1.8765520915447202
Apartment,VANCOUVER_ISALAND,BC,4.042035120336518
Apartment,VICTORIA,BC,2.9746650046275294
Apartment,WINDSOR_ESSEX,ON,3.8701873191484086
Apartment,WINNIPEG,MB,1.499309149446645
Composite,BANCROFT_AND_AREA,ON,4.582165571603905
Composite,BARRIE_AND_DISTRICT,ON,4.151622509336471
Composite,BRANTFORD_REGION,ON,4.412432618735406
Composite,CALGARY,AB,2.6034016941909193
Composite,CAMBRIDGE,ON,3.7999185049831192
Composite,CENTRE_DU_QUEBEC,QC,3.269781793037291
Composite,CHILLIWACK_AND_DISTRICT,BC,3.846921565273882
Composite,EDMONTON,AB,2.231955907261236
Composite,ESTRIE,QC,2.3816965716582703
Composite,FRASER_VALLEY,BC,3.8574767672195063
Composite,FREDERICTON,NB,2.019112071178041
Composite,GREATER_MONCTON,NB,2.37881913476274
Composite,GREATER_TORONTO,ON,3.5569741171284335
Composite,GREATER_VANCOUVER,BC,3.3906432871810597
Composite,GREY_BRUCE_OWEN_SOUND,ON,3.159048706148272
Composite,GUELPH_AND_DISTRICT,ON,3.424637230184227
Composite,HALIFAX_DARTMOUTH,NS,2.894477682349292
Composite,HAMILTON_BURLINGTON,ON,3.9022943857455714
Composite,HURON_PERTH,ON,3.6036977344336916
Composite,INTERIOR_BC,BC,2.9903115558749187
Composite,KAWARTHA_LAKES,ON,3.507891862165341
Composite,KINGSTON_AND_AREA,ON,2.552248117596954
Composite,KITCHENER_WATERLOO,ON,3.861366425135798
Composite,LAKELANDS,ON,3.0853112596393695
Composite,LONDON_ST_THOMAS,ON,4.163995558647143
Composite,LOWER_MAINLAND,BC,3.487312756061715
Composite,MAURICIE,QC,2.9891444285658952
Composite,MISSISSAUGA,ON,3.6623793488976224
Composite,MONTREAL_CMA,QC,2.4510085126319856
Composite,NIAGARA_REGION,ON,3.94431652219175
Composite,NORTHUMBERLAND_HILLS,ON,3.7856375956292547
Composite,NORTH_BAY,ON,2.906678737785303
Composite,OAKVILLE_MILTON,ON,3.4537724618404333
Composite,OTTAWA,ON,2.5392238799553213
Composite,PETERBOROUGH_AND_KAWARTHAS,ON,3.1991761956642883
Composite,QUEBEC_CMA,QC,2.2482917497854085
Composite,QUINTE_AND_DISTRICT,ON,3.6532602310806013
Composite,REGINA,SK,3.1046514332134056
Composite,RIDEAU_ST_LAWRENCE,ON,3.0148269323197487
Composite,SAINT_JOHN_NB,NB,2.0074108304338436
Composite,SASKATOON,SK,3.173346720355981
Composite,SAULT_STE_MARIE,ON,2.75360813883321
Composite,SIMCOE_AND_DISTRICT,ON,3.9710298172882226
Composite,ST_JOHNS_NL,NL,1.818736571422196
Composite,SUDBURY,ON,3.4882157340163014
Composite,TILLSONBURG_DISTRICT,ON,4.646236823314269
Composite,VANCOUVER_ISALAND,BC,3.4095039219591543
Composite,VICTORIA,BC,2.5476120588364575
Composite,WINDSOR_ESSEX,ON,3.1574014793445495
Composite,WINNIPEG,MB,2.466899250076088
Composite,WOODSTOCK_INGERSOLL,ON,4.148469149725336
One_Storey,BANCROFT_AND_AREA,ON,5.1787761469454985
One_Storey,BARRIE_AND_DISTRICT,ON,4.1933932805199925
One_Storey,BRANTFORD_REGION,ON,4.183408751574514
One_Storey,CALGARY,AB,2.6970985402273104
One_Storey,CAMBRIDGE,ON,3.871991236820663
One_Storey,CENTRE_DU_QUEBEC,QC,3.3601149434906477
One_Storey,CHILLIWACK_AND_DISTRICT,BC,4.16194100267408
One_Storey,EDMONTON,AB,2.0705556744780673
One_Storey,ESTRIE,QC,2.5230197834981856
One_Storey,FRASER_VALLEY,BC,4.626586771848823
One_Storey,FREDERICTON,NB,2.0230216750567647
One_Storey,GREATER_MONCTON,NB,2.477143214070149
One_Storey,GREATER_TORONTO,ON,3.780616288430076
One_Storey,GREATER_VANCOUVER,BC,3.8129683001212507
One_Storey,GREY_BRUCE_OWEN_SOUND,ON,3.323337027889151
One_Storey,GUELPH_AND_DISTRICT,ON,3.6509779404570173
One_Storey,HALIFAX_DARTMOUTH,NS,3.1234867509233837
One_Storey,HAMILTON_BURLINGTON,ON,4.019685193296143
One_Storey,HURON_PERTH,ON,3.630412609842475
One_Storey,INTERIOR_BC,BC,3.2987481613535947
One_Storey,KAWARTHA_LAKES,ON,3.589287509224133
One_Storey,KINGSTON_AND_AREA,ON,2.9282239141941346
One_Storey,KITCHENER_WATERLOO,ON,4.245408348778709
One_Storey,LAKELANDS,ON,3.1757222701471246
One_Storey,LONDON_ST_THOMAS,ON,4.135856362622267
One_Storey,LOWER_MAINLAND,BC,4.138129101901008
One_Storey,MAURICIE,QC,3.1369150228967566
One_Storey,MISSISSAUGA,ON,3.8809832513608846
One_Storey,MONTREAL_CMA,QC,2.871872784053472
One_Storey,NIAGARA_REGION,ON,4.0716252900671215
One_Storey,NORTHUMBERLAND_HILLS,ON,3.816685915371124
One_Storey,NORTH_BAY,ON,3.1076530039881067
One_Storey,OAKVILLE_MILTON,ON,3.912565053810025
One_Storey,OTTAWA,ON,2.7210850896895296
One_Storey,PETERBOROUGH_AND_KAWARTHAS,ON,3.2240059342924283
One_Storey,QUEBEC_CMA,QC,2.5982813708327863
One_Storey,QUINTE_AND_DISTRICT,ON,3.7680438384710464
One_Storey,REGINA,SK,3.006186766570356
One_Storey,RIDEAU_ST_LAWRENCE,ON,3.0869446970102987
One_Storey,SAINT_JOHN_NB,NB,1.9961376117545138
One_Storey,SASKATOON,SK,3.399013196743396
One_Storey,SAULT_STE_MARIE,ON,2.6929757516636856
One_Storey,SIMCOE_AND_DISTRICT,ON,3.913703803399211
One_Storey,ST_JOHNS_NL,NL,2.112242333154446
One_Storey,SUDBURY,ON,3.6535995871752758
One_Storey,TILLSONBURG_DISTRICT,ON,4.563606850491973
One_Storey,VANCOUVER_ISALAND,BC,3.5029976300681747
One_Storey,VICTORIA,BC,2.8753552064797745
One_Storey,WINDSOR_ESSEX,ON,3.404382308406151
One_Storey,WINNIPEG,MB,2.4930013058033316
One_Storey,WOODSTOCK_INGERSOLL,ON,4.159626498815201
Single_Family,BANCROFT_AND_AREA,ON,4.582165571603905
Single_Family,BARRIE_AND_DISTRICT,ON,4.266069104547088
Single_Family,BRANTFORD_REGION,ON,4.445959784850249
Single_Family,CALGARY,AB,2.7816038533479146
Single_Family,CAMBRIDGE,ON,3.9256933419488136
Single_Family,CENTRE_DU_QUEBEC,QC,3.2850072374122177
Single_Family,CHILLIWACK_AND_DISTRICT,BC,3.9453791586447946
Single_Family,EDMONTON,AB,2.1519879817643357
Single_Family,ESTRIE,QC,2.4884930019155678
Single_Family,FRASER_VALLEY,BC,4.6002571123470855
Single_Family,FREDERICTON,NB,2.040500286668507
Single_Family,GREATER_MONCTON,NB,2.381965270453685
Single_Family,GREATER_TORONTO,ON,3.776544076285562
Single_Family,GREATER_VANCOUVER,BC,3.944601722229197
Single_Family,GREY_BRUCE_OWEN_SOUND,ON,3.1721586603456227
Single_Family,GUELPH_AND_DISTRICT,ON,3.6289477912602752
Single_Family,HALIFAX_DARTMOUTH,NS,2.961059560334442
Single_Family,HAMILTON_BURLINGTON,ON,4.07144633830409
Single_Family,HURON_PERTH,ON,3.6431121667490247
Single_Family,INTERIOR_BC,BC,3.331687706122897
Single_Family,KAWARTHA_LAKES,ON,3.507891862165341
Single_Family,KINGSTON_AND_AREA,ON,2.6415685369894177
Single_Family,KITCHENER_WATERLOO,ON,4.149904491456325
Single_Family,LAKELANDS,ON,3.1513364598858
Single_Family,LONDON_ST_THOMAS,ON,4.1248853723079995
Single_Family,LOWER_MAINLAND,BC,4.141232041385746
Single_Family,MAURICIE,QC,3.026504092521259
Single_Family,MISSISSAUGA,ON,3.898710116587099
Single_Family,MONTREAL_CMA,QC,2.9173252840092556
Single_Family,NIAGARA_REGION,ON,4.002538985902639
Single_Family,NORTHUMBERLAND_HILLS,ON,3.842827555574256
Single_Family,NORTH_BAY,ON,2.906678737785303
Single_Family,OAKVILLE_MILTON,ON,3.8184339620991463
Single_Family,OTTAWA,ON,2.6598208692059275
Single_Family,PETERBOROUGH_AND_KAWARTHAS,ON,3.1991761956642883
Single_Family,QUEBEC_CMA,QC,2.661152415032933
Single_Family,QUINTE_AND_DISTRICT,ON,3.6737930204732074
Single_Family,REGINA,SK,3.2913118236788534
Single_Family,RIDEAU_ST_LAWRENCE,ON,3.026986723903971
Single_Family,SAINT_JOHN_NB,NB,2.012572397464388
Single_Family,SASKATOON,SK,3.4409293052638015
Single_Family,SAULT_STE_MARIE,ON,2.75360813883321
Single_Family,SIMCOE_AND_DISTRICT,ON,3.9723603461274526
Single_Family,ST_JOHNS_NL,NL,1.927362032060659
Single_Family,SUDBURY,ON,3.4882157340163014
Single_Family,TILLSONBURG_DISTRICT,ON,4.646236823314269
Single_Family,VANCOUVER_ISALAND,BC,3.504059795453386
Single_Family,VICTORIA,BC,2.857317030171522
Single_Family,WINDSOR_ESSEX,ON,3.3175376526463465
Single_Family,WINNIPEG,MB,2.610031316287173
Single_Family,WOODSTOCK_INGERSOLL,ON,4.125396951639754
Townhouse,BARRIE_AND_DISTRICT,ON,4.6313140911661
Townhouse,BRANTFORD_REGION,ON,4.937314588423536
Townhouse,CALGARY,AB,2.9402448953367113
Townhouse,CAMBRIDGE,ON,4.340755208000496
Townhouse,CHILLIWACK_AND_DISTRICT,BC,4.2484468942903835
Townhouse,EDMONTON,AB,2.5146756313194563
Townhouse,FRASER_VALLEY,BC,4.010710180215182
Townhouse,GREATER_MONCTON,NB,3.8572592151186686
Townhouse,GREATER_TORONTO,ON,3.968967173137698
Townhouse,GREATER_VANCOUVER,BC,3.857318383818792
Townhouse,GREY_BRUCE_OWEN_SOUND,ON,4.747441747960859
Townhouse,GUELPH_AND_DISTRICT,ON,4.180707922920888
Townhouse,HALIFAX_DARTMOUTH,NS,2.8053302298535323
Townhouse,HAMILTON_BURLINGTON,ON,4.242814630114591
Townhouse,INTERIOR_BC,BC,2.9715881548898677
Townhouse,KINGSTON_AND_AREA,ON,3.8112220609140324
Townhouse,KITCHENER_WATERLOO,ON,4.73281621713048
Townhouse,LAKELANDS,ON,3.3665809404156253
Townhouse,LONDON_ST_THOMAS,ON,5.024957929264593
Townhouse,LOWER_MAINLAND,BC,3.774567203655783
Townhouse,MISSISSAUGA,ON,3.6291688215719446
Townhouse,MONTREAL_CMA,QC,2.8265482786387643
Townhouse,NIAGARA_REGION,ON,4.073596044492882
Townhouse,NORTHUMBERLAND_HILLS,ON,3.2953077015876358
Townhouse,OAKVILLE_MILTON,ON,4.436810183567567
Townhouse,OTTAWA,ON,3.103083920667512
Townhouse,QUEBEC_CMA,QC,2.0109965263988365
Townhouse,QUINTE_AND_DISTRICT,ON,4.121104151805447
Townhouse,REGINA,SK,2.491428825882986
Townhouse,RIDEAU_ST_LAWRENCE,ON,4.825095063262182
Townhouse,SASKATOON,SK,3.041651167352559
Townhouse,SIMCOE_AND_DISTRICT,ON,3.9271824261265396
Townhouse,ST_JOHNS_NL,NL,1.8383568629653457
Townhouse,VANCOUVER_ISALAND,BC,3.8711586482399967
Townhouse,VICTORIA,BC,2.6014650129288435
Townhouse,WINDSOR_ESSEX,ON,3.533352960422898
Townhouse,WINNIPEG,MB,2.3125500344454406
Townhouse,WOODSTOCK_INGERSOLL,ON,5.492266868601759
Two_Storey,BANCROFT_AND_AREA,ON,4.244950620572384
Two_Storey,BARRIE_AND_DISTRICT,ON,4.319454835540614
Two_Storey,BRANTFORD_REGION,ON,4.725461330324061
Two_Storey,CALGARY,AB,2.716199813099545
Two_Storey,CAMBRIDGE,ON,3.9670612114564583
Two_Storey,CENTRE_DU_QUEBEC,QC,3.2286217220809066
Two_Storey,CHILLIWACK_AND_DISTRICT,BC,3.632865672087825
Two_Storey,EDMONTON,AB,1.9118160932768529
Two_Storey,ESTRIE,QC,2.4439442064862407
Two_Storey,FRASER_VALLEY,BC,4.3881920992031125
Two_Storey,FREDERICTON,NB,2.138630016210474
Two_Storey,GREATER_MONCTON,NB,2.3167242247663475
Two_Storey,GREATER_TORONTO,ON,3.7653334794576017
Two_Storey,GREATER_VANCOUVER,BC,3.8023689068749102
Two_Storey,GREY_BRUCE_OWEN_SOUND,ON,3.0495295883626126
Two_Storey,GUELPH_AND_DISTRICT,ON,3.6377375778017953
Two_Storey,HALIFAX_DARTMOUTH,NS,2.8811099147672348
Two_Storey,HAMILTON_BURLINGTON,ON,4.112464375378655
Two_Storey,HURON_PERTH,ON,3.6805855015370366
Two_Storey,INTERIOR_BC,BC,3.2702916771527697
Two_Storey,KAWARTHA_LAKES,ON,3.4840069777981415
Two_Storey,KINGSTON_AND_AREA,ON,2.4065964711045065
Two_Storey,KITCHENER_WATERLOO,ON,4.152810174402525
Two_Storey,LAKELANDS,ON,3.086154966981756
Two_Storey,LONDON_ST_THOMAS,ON,4.136116028882831
Two_Storey,LOWER_MAINLAND,BC,3.923975484539565
Two_Storey,MAURICIE,QC,2.8204310079722417
Two_Storey,MISSISSAUGA,ON,3.906312376309195
Two_Storey,MONTREAL_CMA,QC,2.807900130301892
Two_Storey,NIAGARA_REGION,ON,3.9631180327699282
Two_Storey,NORTHUMBERLAND_HILLS,ON,3.9410613473172833
Two_Storey,NORTH_BAY,ON,2.676560085463778
Two_Storey,OAKVILLE_MILTON,ON,3.816797230413548
Two_Storey,OTTAWA,ON,2.637655304082291
Two_Storey,PETERBOROUGH_AND_KAWARTHAS,ON,3.20005044806076
Two_Storey,QUEBEC_CMA,QC,2.6161365756605246
Two_Storey,QUINTE_AND_DISTRICT,ON,3.5703930557046366
Two_Storey,REGINA,SK,3.24031668415786
Two_Storey,RIDEAU_ST_LAWRENCE,ON,3.0206023875499213
Two_Storey,SAINT_JOHN_NB,NB,2.1226976627559493
Two_Storey,SASKATOON,SK,3.050782414089198
Two_Storey,SAULT_STE_MARIE,ON,2.902208012251911
Two_Storey,SIMCOE_AND_DISTRICT,ON,4.171582639913069
Two_Storey,ST_JOHNS_NL,NL,1.8479408139182074
Two_Storey,SUDBURY,ON,3.2255096488706525
Two_Storey,TILLSONBURG_DISTRICT,ON,4.763164422739591
Two_Storey,VANCOUVER_ISALAND,BC,3.456184426298822
Two_Storey,VICTORIA,BC,2.7649143946773926
Two_Storey,WINDSOR_ESSEX,ON,3.4457836447488437
Two_Storey,WINNIPEG,MB,2.800035384739283
Two_Storey,WOODSTOCK_INGERSOLL,ON,4.052972610660911
